tweet,real_news
"zamalek is studying lifting the financial penalty for the players and continuing it with carteron
#ontimenews
# we are all behind the egyptian national team https://t.co/d1gbw4d0x2",1
"a special meeting with some kuwaiti fans and a talk about the world cup
#ontime_news https://t.co/63y6tsirj1",1
"the ismaili club board of directors, headed by abu bakr al-hadidi, decided to grant hamza al-gamal, the technical director of the dervish team, complete freedom in choosing the football manager to join the technical staff.",1
"abdel-zaher el-sakka: queiroz relies on the players of the olympic team, and this appeared to depend on ahmed fattouh and akram tawfiq",1
"real madrid won, guys, and imagine the reason, varane, praise be to god",1
"the egyptian volleyball federation, headed by eng. yasser qamar, requested that egypt organize the u-19 world championship, but the international federation has not yet taken a decision.",1
"the first football team of zamalek club, led by portuguese coach josevaldo ferreira, resumed its training today, saturday, at the abdel latif abourguila stadium at the club's headquarters.",1
"today, the world cup for track cycling, which will be held at the cairo international stadium, will be concluded with the participation of 58 countries.",1
"al-ahly coach marcel koller announced the formation of the team for the talaea el-geish match scheduled for the seventh evening, friday.",1
"half an hour after our match with jordan, a deserved lead for jordan and al-shennawy, the star of the first match!!!!",1
"ahmed sayed ""zizou"", player of the first football team in zamalek club, stressed the difficulty of the upcoming sudanese al-merreikh match in the african champions league.",1
"throughout its history, egyptian sports have many stars who shone in its sky and became legends and stars whose names fans sing to this day.",1
al-ahly reveals the place of rehabilitation of akram tawfiq after he suffered a cruciate ligament injury.,1
a player in our national team that you expect to shine in the african cup of nations is he?!,1
"today, sunday 3/19/2023, egyptian sports witnessed many important events, most notably the al-ahly club's request for a full public attendance in its match against the sudanese al-hilal..",1
"al-ahly squad
the shinawy
fathi
aimen
yasser
maaloul
soleus
ashour
shahat
ajay
ramadan
walid azaro",1
the zamalek match with ceramica in this round was postponed due to the white knight's preoccupation with facing tunisian esperance in the african champions league.,1
"the referees committee of the football association assigned the al-ahly and arab contractors match, which was postponed from the 17th week of the league, scheduled for tomorrow, tuesday, to referee mohamed al-hanafi.",1
"magdy el-baz, head of the ismaili club's medical staff, set up a rehabilitation program for ahmed madbouly, the dervish playmaker, to recover from a bruise in the face of the foot.",1
"the security authorities agreed that 10,000 fans would attend the egypt cup semi-final matches between al-ahly and smouha, and zamalek with pyramids, with 5,000 fans in each match.",1
"the angolan mabululu, the striker of the alexandrian al-ittihad team, continued to lead the egyptian league's top scorer table.",1
"al-masry is preparing for its match against ceramica, which is scheduled to be held at six in the evening next sunday at burj al-arab stadium, as part of the matches of the eighteenth round of the league.",1
"the head of the judicial committee supervising the ordinary general assembly of al-ittihad club of alexandria announced that the legal quorum that must be available to discuss the agenda was not complete, and the board of directors was delegated",1
"aswan club officials revealed the truth about what is reported about zamalek's offer to include moroccan belhaj, the playmaker of the southern team, in the last hours of the current winter mercato.",1
"the pyramids team achieved a big victory over its counterpart, pharco, by 3 without a response, in the match that brought the two teams together this evening, thursday, at the air defense stadium, in the fourteenth round of the egyptian premier league competition this season.",1
ontime sports broadcasts the al-ahly and smouha match at al-ahly and al-salam stadium in the ninth round of the premier league competition.,1
"tunisian international seif el-din el-jaziri, striker of zamalek, arrived in cairo, coming from tunisia, after the tunisian national team bid farewell to the world cup in the group stage.",1
"the coaching staff, led by portuguese josevaldo ferreira, set a special program to prepare the duo for the next confrontation against pyramids, which is scheduled for next monday at cairo international stadium.",1
the main referees committee of the egyptian football association decided to divide the referees joining the camp into 3 regiments.,1
"transferring the matches of al-ittihad of alexandria to burj al-arab throughout the second round of the premier league, provided that the decision is implemented as of the matches of round no. 20 of the competition, during which the alexandrian federation will host the arab contractors team in the match scheduled for next monday, corresponding to january 22.",1
"praise be to god, the mock elections for the premier league have been canceled, and also the clubs are officially requested today to cancel the links of the second and third sections, otherwise the support will be cancelled.",1
"today, sunday 2/12/2023, egyptian sports witnessed many important events, on top of which was the formation of the media monitoring committee of the football association; monitoring violations and imposing penalties on violators.",1
"spain's roberto barrondo garcia, coach of the men's first handball team, announced the national team's squad to face belgium in the match set for the seventh evening, thursday.",1
"'' mbappe will sign for real madrid next week '' special tour in international newspapers
#ontime_news https://t.co/x6c1pfry5q",1
"the coach of the alexandrian-serbian federation, zoran, expressed his sorrow for the three-way defeat against pyramids, stressing that the fatal defensive errors were the main reason for the defeat.",1
"portuguese josevaldo ferreira, coach of the first football team at zamalek club, appeared inside the white castle headquarters in preparation for leading the team's training, and ferreira leads zamalek's training this evening.",1
urgent counselor mortada mansour confirms al-shinawi and gensh evaded the army match!!!,1
"60 minutes have passed since the sudanese al-merrikh and zamalek match, which currently brings them together at the benina martyrs stadium in libya, in the second round of the group stage matches of the caf champions league.",1
"the coaching staff of the arab contractors team, led by shawky gharib, is reviewing the previous matches of the haras el hodoud team in the league, the last of which was a negative tie with ceramica.",1
"al-ahly postpones the goalkeeping support file until next summer.. and rabiaa refuses to leave the team
#ontime_news https://t.co/lak7ffrjs9",1
"ahmed sami, the coach of the smouha team, chose 22 players in his team's list, in preparation for the match against the haras el hodoud team, which is scheduled for 5 pm tomorrow, sunday.",1
"al-ahly team is preparing to play its match against cameroonian cotton tomorrow, friday, in garoua, in the fifth round of the group stage of the african champions league.",1
"ayman younes, the former star of zamalek, confirmed that the portuguese josevaldo ferreira gave marcel kohler the gift of winning the summit match with his changes, especially by directing mathlouthi, during the match that brought them together on saturday evening.",1
"fourth group
- burkina faso
- south africa
cap veredi
- senegal",1
"pharco and the national bank enter the meeting with different spirits, as pharco achieved a great victory over zamalek, 3-0, in the last round, while the national bank fell to future, 3-0, in the same round.",1
amr el dardir: marawan hamdy joined zamalek at a difficult time,1
"hossam hassan, the technical director of the first football team at the egyptian club, was keen, while he was in the egyptian club branch (suburbs 1- the social club), to visit the training of the football school.",1
"ibrahima kone, the player of ghazl el mahalla, is close to participating in group training, after undergoing a medical examination tomorrow under the supervision of the team doctor.",1
"a real chance from islam muhareb, but it passes next to al-qaim
the negative tie continues between al-ahly and the ethiopian gemma",1
"the recent period witnessed a decline in the level of the duo, mohamed sharif and shadi hussein, as they faced a crisis in wasting easy opportunities in front of the opponent's goal",1
"the spanish jarrido, the technical director of ismaili, and ahmed sami, the technical director of ceramica club, announced the formation of the two teams for the match that will bring them together in the 6th round of the league championship.",1
good luck to our national team today in the first arab cup match against lebanon,1
"the al-ahly team will enter a difficult confrontation against its egyptian counterpart, port said, at seven in the evening, thursday, at burj al-arab stadium in alexandria, in the thirteenth round of the premier league competition.",1
"arbitration expert ahmed el-shennawy revealed the scenes of the egyptian football clubs association meeting with clattenburg, chairman of the referees committee.",1
"tariq yahya explains his technical opinion on zamalek's tie against sagrada: the team is going through an abnormal state of failure, and obama is a very important player in zamalek
#ontime_news https://t.co/g0qfqzwjob",1
"75 minutes have passed since the al-ahly and pyramids match, which is currently being held at cairo stadium, in the eleventh round of the league championship, and the result is al-ahly's progress with a clean double.",1
"today's matches in the bahri and alexandria group resulted in the victory of mansoura, tanta, el-mahalla municipality, the olympic and ittihad nabrouh.",1
"roy vitoria confirms his arrival in cairo on tuesday to lead the national team
#ontime_news https://t.co/urascdbtwx",1
sincere condolences on the death of the artist hisham saleh selim. we belong to god and to him we shall return,1
"strong matches await egyptian football fans in the fourteenth round of the premier league competition, which starts next wednesday.",1
"fathi mabrouk: al-ahly is a championship club, and the fans have the right to fear the fluctuation of the team's performance during the recent matches
#ontime_news https://t.co/7u6dzfjstg",1
al-ahly's match with the arab contractors in this round was postponed due to the red genie's preoccupation with participating in the club world cup.,1
"officially, morocco organizes the upcoming club world cup",1
kohler was keen to talk to the players before the start of the training session. to confirm the closure of yesterday's match against the american seattle sounders,1
"the first half of al-ahly's match against new zealand's auckland city at the opening of the 2023 fifa club world cup ended at ibn battuta stadium in morocco, with al-ahly advancing with a clean goal scored by hussein al-shahat in the 47th minute.",1
al-ahly announces the extension of mohamed mahmoud's contract for 5 years,1
"distributing food to the poor.. a wonderful attitude from the brazilian coutinho in his hometown during the christmas holidays
#ontime_news https://t.co/sazqchoame",1
"opinion settled within the coaching staff of the first national team, after coordination and consultation between the portuguese technical director, roy vitoria, and luis stefas, coach of the goalkeepers, to suffice with three goalkeepers in the camp.",1
"the first football team of al-ahly club concluded its training today, monday, in preparation for the aswan match in the league championship, which is scheduled for the third quarter after tomorrow afternoon, tuesday.",1
"today, friday, colin, the media coordinator of the confederation of african football, visited alexandria governorate, to check on the progress of work in the stadium that hosts group c.",1
"al-ahly's best results in the club world cup were winning the bronze medal on 3 occasions, in 2006 in japan, 2020 in qatar, and 2021 in the uae.",1
"ali ghazal shines in the ""defender"" center with ajiri
ali ghazal, the midfielder for the egyptian national team and the canadian vancouver whitecaps team, won the approval of the technical staff of the pharaohs, led by mexican javier aguirre.",1
"al-masry was able to win the royal cup championship three times in 1933, 1934 and 1937. coach hassan el-deeb participated in achieving that championship.",1
"mohamed adel: el mokawloon has a great coach, and we seek to form a strong team of youth.. omar fayed will not leave for any club in egypt, and we will prepare him for external professionalism
#ontime_news https://t.co/dnwngtd1xe",1
egypt's women's handball team lost to angola 34/25 in the friendly match that brought the two teams together in the covered hall of city club shebin el-kom.,1
"today, thursday 1-12-2022, egyptian sports news witnessed many important events, and on top of them, the football committee of the national bank club, headed by major general ashraf nassar, decided to thank khaled jalal, the coach of the first football team, and his assistant staff, for what they presented during the last period, and to appoint helmy tolan as a substitute. for him.",1
"find out about al-ahly club's expected formation for the enppi match today in the league
#ontime_news https://t.co/qaatvz4ffw",1
"the african champions league draw:
real in the face of bayern
liverpool vs rome",1
"the al-ahly match was postponed in this round, due to the red genie's preoccupation with participating in the club world cup.",1
"ayman younes: the zamalek fans are the ""dynamo and energy generator"" for the players",1
"ferreira settles on the stability of the formation in the aswan match .. and demands that his players collect match points
#ontime_news https://t.co/csrtxmguor",1
ahmed hassan: the national team lacks ferocity in the matches it plays,1
"zamalek officials requested the return of mahmoud alaa, the defender of the first football team of the zamalek club and loaned to al-ittihad of alexandria, during the current winter transfers.",1
"ismaily to ""smouha"": dervish players are not for sale",1
"60 minutes have passed since the al-ahly and al-hilal sudanese match, which is currently being held at the blue jewel stadium, omdurman, in sudan, as part of the group stage matches in the african champions league.",1
"foreign referees for the super match
1. today, the referees committee of the egyptian football association, headed by captain gamal al-ghandour, began contacting the european federations to choose a foreign refereeing team to manage the super match between al-ahly and zamalek teams, which is scheduled for next friday at burj al-arab stadium.",1
"al-hani suleiman suffered a severe injury in the calf during the al-ahly bank match, as a result of which he left the match.",1
"amr el dardir: al douri for zamalek
#amr _ and _ alaa _ with _ saif",1
"the national youth team wears its basic uniform, red shirt, white shorts and black socks, while the nigerian national team wears a green kit.",1
"akram tawfiq, the player of the first football team at al-ahly club, accompanied by dr. ahmed abu abla, head of the team's medical staff, went today to austria to perform cruciate ligament surgery.",1
"osama nabih, the technical director of the first football team at zamalek club, has settled with a large percentage on the formation with which he will play today's match, against his counterpart future.",1
"the combined session to determine the champion of the league associated with the professionals, born in 2002, for the 2022/2023 local season, will start on february 13th.",1
"pyramids is close to annexing ""dunga"" ismaili and victoria refuses to replace ""dunga"" pyramids and summon hisham hafez to the national team
#ontime_news https://t.co/kprhwota0z",1
"2- the director of the federation added that the same applies to all officials in the federation, as any personal accounts that are not documented with the approved mark are not considered.
accordingly, major general tharwat sweilem indicated that there is no absolute truth to what was reported by a website about appointing a fellow journalist in charge of the non-existent al hakam website.",1
"the ismaili club's technical staff, led by ahmed hossam mido, refused to announce the team's list, which is preparing to face zamalek tomorrow, thursday.",1
"the technical staff of zamalek club, led by the portuguese ferreira, closed the page for the national bank match that was held on friday evening at cairo international stadium.",1
"if al-ahly qualifies for the semi-finals, it will face the winner from esperance and es setif",1
do you know how many times salah the third,1
"60 minutes have passed since the al-ahly and cameroonian cotton match, which is currently being held at al-salam stadium, in the postponed meeting of the first round of the group stage in the african champions league.",1
"al-ahly coach marcel koller plans to give the brazilian bruno savio, the red team player, the opportunity to participate, during his match against the arab contractors next tuesday.",1
samir othman: radwan is one of the psychologically comfortable referees,1
"ismaily is currently preparing to face ghazl el mahalla, on february 21, at its stadium in ismailia, as part of the 19th week of the local league competition.",1
"the referees of the vanguards of the army and al-mokawloon match today, within the 33rd round of the premier league: muhammad abdel-hafiz, assisted by abdel-latif al-baz, muhammad abu al-azayem, and muhammad ibrahim al-desouki as a fourth referee, and each of ahmed al-dalil and ahmed salama as a fifth referee.",1
all roads lead to leo,1
"fans of the round witch are waiting for the beats of eight thirty in the evening today, saturday, to follow the fateful meeting that brings zamalek together with al-ahly at cairo international stadium.",1
al-ahly will play its first training session in south africa at four o'clock this afternoon at the university stadium in pretoria.,1
emad miteb holds a session with abdel hafeez to discuss renewing his contract with al-ahly,1
"throughout the day, thursday, strong confrontations will be held at the level of the twelfth round of the second stage of the women's handball league for the local season 2022/2023.",1
bassem ali denies entering into negotiations with smouha to leave al-ahly next season,1
"a striker who used to play in european leagues fathallah zidane reveals al-ahly's most prominent deals for the next season
#ontime_news https://t.co/5jbkxf0qbt",1
"zamalek gives the name ""al-zend"" to the club's new library",1
"ahmed saleh, former zamalek player: ferrera is one of the coaches who has tactical flexibility during the match..and his capabilities are higher than diaz
#ontime_news https://t.co/bdjcckc9li",1
"sources in jabalia: there is no club that can impose its opinion on the football association
some sources in the football association revealed that the al-ahly club's statement, which was issued today, thursday, bears a ""rebel"" formula that is highly rejected by the jabaliya board of directors headed by hani abu raida.",1
"the third group
- gabon
- morocco",1
"ghazl el mahalla enters a closed camp today, in preparation for the match against smouha at borg el arab stadium in alexandria, within the tenth round competitions.",1
"my expectations yesterday for everything that came in the club's statement # al-ahly today stems from the fact that the catalog of al-ahly club does not change .. it is an expectation that stems from the thought of captain mahmoud al-khatib, which is clear to us from the reality of the principles of al-ahly club that do not change.",1
"the al-ahly delegation left its residence in the moroccan city of tangier, heading to the capital, rabat, in preparation for its match against real madrid, spain, next wednesday.",1
"swiss coach marcel kohler, al-ahly coach, today, friday, puts the last frills on the red genie's plan to face his american counterpart, seattle sounders, scheduled for 7:30 pm tomorrow, friday.",1
amr gamal: the stress of the connective tissue is the reason for my substitution against zamalek,1
"saafan al-soghair: the winner of the ismaili and al-raja confrontations will reach the final of the arab championship
saafan al-saghir, the ismaili goalkeeper coach, believes that the qualifier from his team's next match against al-raja will reach the final of the arab championship this season.",1
"the last scenes and preparations of the egyptian national team to face sudan in the nations cup and the expected formation
#ontime_news https://t.co/bvgicstztn",1
"today, wednesday, the matches of the sixth round of the premier league competition will be completed by holding 4 matches at once, starting from three to a quarter in the afternoon and ending at seven in the evening.",1
"the ismaili team, led by hamza el-gamal, concludes its training today, sunday, in preparation for the ghazl el-mahalla match, which is scheduled for the fourth tomorrow afternoon.",1
"hussein al-shahat became the fourth player to score for al-ahly in two different editions of the club world cup, after he scored al-ahly's first goal against auckland city in the current meeting between them, and its result indicates that the red genie advanced by two goals.",1
the first half between al-ahly and al-dakhiliya ended in a goalless draw,1
"the door for candidacy for the al-ahly elections opened from october 15 to 21, and the elections will be held on november 25 and 26.",1
"zamalek returns to group training in preparation for facing the arab contractors.. and modifications in formation
#ontime_news https://t.co/fvx6ovchpc",1
"transferring the ghana-egypt match from kumasi to cape coast, 160 km from the capital, accra",1
"mohamed hamdy zaki, the aswan player, won the best player award in the smouha and aswan match.",1
"yesterday's game, i wrote new things in football, people don't know them, they closed the counter, and their machine came up with cloth",1
"""a state of relief."" al-ahly stars' reaction to kohler's decision
#ontime_news https://t.co/zsgrrgqkia",1
"2- two matches will be held on wednesday, during which zamalek will meet with wadi degla in cairo stadium at five in the evening, and al-ittihad of alexandria with al-dakhiliyah in burj al-arab stadium at seven thirty in the evening (after the security authorities refused to transfer the matches of al-ittihad of alexandria to alexandria stadium)
he follows",1
"mohamed moselhy, technical director of the al-ahly men's volleyball club, confirmed that the team deservedly deserved to win the volleyball super cup after defeating zamalek by three clean runs.",1
the international sports court (al-kass) rejects wadi degla club's appeal,1
"there are new events every hour, and for the first time i have had this many questions and answers",1
"khaled al-dirandali, al-ahly treasurer, in a phone call to ontime stadium: al-ahmar players have a winning culture, and we always think about tournaments",1
"swiss coach marcel kohler, coach of al-ahly club, settled on the return of amr al-soulia, the team's midfielder, to the starting line-up of the red genie, starting from facing cameroonian cotton.",1
"major general ashraf nassar, president of the national bank club, confirmed that the contract with cypriot papa vassiliou to train the team came in order to adjust the team's path in the egyptian premier league.",1
"mohamed farag amer, president of smouha club, announced that attia el-sayed, head of the youth sector, had submitted his resignation.",1
"portuguese josevaldo ferreira, coach of the first football team at zamalek club, refused to give the players a break from training tomorrow, thursday, after defeating vanguards of the army in today's premier league match.",1
"congratulations to the egyptian omar asr, the first egyptian and arab to reach the quarter-finals of the table tennis competitions men's singles in the olympics.
waiting for more champ",1
the volleyball team of al-ahly club will meet its counterpart zamalek tomorrow at the end of the second round of the second phase of the men's volleyball league.,1
"messi achieves an unprecedented achievement in the history of the world cup and decides not to retire internationally
#ontime_news https://t.co/z0zzi1qrxo",1
hazem fattouh: carteron's relationship with the current administration in zamalek is excellent,1
"mahmoud fathallah, coach of pyramids club, confirmed that the victory that the team achieved at the expense of pharco, with three free goals in the league, was achieved at the expense of a strong team.",1
"the competitions committee of the egyptian football association agreed to transfer the zamalek match with al-raja, scheduled for wednesday, march 14, in the twenty-ninth week of the premier league competition, to cairo stadium instead of the army stadium in suez (bad al-dars), at the request of zamalek.",1
"the first football team of al-ittihad club of alexandria, under the leadership of its serbian coach zoran, will return to group training at four in the afternoon.",1
"the professional squash players association (psa) announced the new world ranking for male and female players during the second week of march, and mostafa assal, al-ahly player, maintained the top of the men's classification.",1
"osama nabih: osama faisal is a promising player
#president _ of _ zamalek _ with _ saif _ zaher",1
"tonight... an egyptian summit on tunisian soil between al-ahly and zamalek in the african handball championship
#ontime_news https://t.co/ddkvumbcuq",1
"| egypt and south korea have sold out friendly tickets ....
the south korean football association announced that tickets for the friendly match between egypt and south korea, scheduled for june 14, at the seoul world cup stadium, which can accommodate approximately 70,000 spectators, have sold out.
#efa",1
"he sits on the bench of al-ahly club's substitutes in the new zealand match, auckland city, tonight in the club world cup,",1
"walid mahdi, representative of the pyramids team: the enppi match is very strong.. and the league cup championship is important to us, and we seek to prepare and give opportunities to some players
#ontime_news https://t.co/yj5ffv9wio",1
"egypt's youth team lost to ghana's national team, 2/0, in the friendly match, which was held at cairo stadium, in preparation for the african cup of nations.",1
"the ghazl el mahalla team in ali defeated its counterpart, tala'a el jaish, with three goals to two, in the match that was held at ghazl el mahalla stadium, in the start of the seventh week matches of the premier league.",1
"the portuguese ferreira, coach of the first football team at zamalek club, asked the medical staff for al-abyad",1
"martin jol: hossam ghaly ""has no equal in egypt",1
abu bakr al-hadidi holds many sessions with the players in order to give them confidence and return to their distinguished level in order to achieve victory and collect points in the coming period..,1
"al-ahly team will be a heavy guest on pharco at five in the evening, tuesday, at burj al arab stadium in alexandria.",1
"ferreira will seek to win today against pharco in order to win the league early... wael al-qabbani talks about today's match
#ontime_news https://t.co/cideabtezm",1
"the journalist, ahmed schubert, revealed that there was an offer from the saudi al-batin club, in order to include muhammad majdi afsha, the al-ahly player, on loan.",1
mortada mansour: moamen suleiman will continue as coach of zamalek until the end of the season,1
"also, one of al-ahly's most important gains is the return of ajay and taher taher's goal",1
"and the same auxiliary apparatus, with the exception of tariq suleiman, coach of the guards, instead of osama abdel karim, and the rise of muhammad shawqi to the first team",1
"faouzi benzarti, technical director of mc algiers",1
"the vanguards of the army team, led by its coach imad al-nahhas, will be a heavy guest on enppi, which is led by tamer mostafa, at petrosport stadium, at seven in the evening today.",1
"mohamed abdel moneim, al-ahly defender, is undergoing a medical test today, thursday, to determine his position on joining the summit match against zamalek next saturday.",1
"the events of the first half of the future and ghazl el mahalla match ended with the first leading with a goal without a response, scored by bassem ali in the 18th minute of the match that currently brings the two teams together at al salam stadium.",1
"learn about the latest news and scenes of the al-masry al-port said club elections and potential deals for the next season
#ontime_news https://t.co/ys0scknusa",1
"the most prominent 7 news witnessed by egyptian sports today, friday 12/9/2022, in the forefront of which is mahmoud abu al-rajal ending his career in the qatar world cup 2022.",1
al-ahly's match with the arab contractors in this round was postponed due to the red genie's preoccupation with participating in the club world cup.,1
ibrahim hassan: zamalek club is the one who did sassi,1
"the summit of the cairo group in the second section, between the leaders el sekka el hadid and zaid the runner-up, with the same balance, by 31 points.",1
"mourtada mansour:
""hazem imam hit morsi's name in the face""",1
we said that we are betting on determination and that our cloth is sweet and we made a remontada,1
"ashraf khedr, the general coach of the ismaili club's first football team, affirmed everyone's determination to restore the winning streak and move forward towards achieving a positive result in the confrontation with vanguards of the army.",1
"ferreira wanted to play in white, but the administration decided on the blue color",1
"the technical staff of future club, led by ali maher, is working on reviewing the previous matches of the national bank in the league competition, the latest of which was the ghazl el mahalla match, which ended in a positive draw.",1
"mahmoud hamdi ""al-wensh"" participated in the qualifying session with the substitute players and those excluded from the pharco match",1
"jamal allam, president of the football association, received a congratulatory message from gianni infantino, president of the international federation of football associations (fifa), on the occasion of his birthday.",1
"today, monday, egyptian sports witnessed a lot of important sporting news and events, including abdel monsef's apology for el-hadary's succession in the olympic team.",1
"the wrestling federation, headed by issam nawar, decided to advance the date for holding the republic championship competitions for adults, as it was decided to hold them from december 17 to 21.",1
"portuguese coach josevaldo ferreira, coach of the first football team at zamalek club, was keen to give special technical instructions to mohamed ashraf ""roca"" and saif farouk jaafar, the team's midfield duo.",1
al-ahly distributes a thousand invitations to members to attend the tanzanian yang match,1
"the football association decided to hold the matches of the 32nd round of the egypt cup without international players, as has been the case throughout the past period.",1
